Point Latitude,Point Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue_id
35.75667475862068,51.39638581159421,Taj Mahal Restaurant | رستوران تاج محل (رستوران تاج محل),35.75247321363178,51.39634757327621,Indian Restaurant,5107fb02e4b047c08bb4d2f9
35.75667475862068,51.39638581159421,Sahar Bakery,35.761154,51.396038,Bakery,59c21c753af9886fe4606f5e
35.75667475862068,51.39638581159421,Hoorsun Fresh Pasta & Pizza,35.758463,51.400354,Italian Restaurant,597985a695a722798b9615d2
35.75667475862068,51.39638581159421,Express Sandwich | ساندويچ اكسپرس,35.75474763324408,51.400059082498736,Sandwich Place,52d8220d11d2d6de4284fd45
35.75667475862068,51.39638581159421,Taj Mahal Hotel | هتل تاج محل,35.75249063172392,51.396357892681195,Hotel,4c3ca15b4bc9a593adedd271
35.75667475862068,51.39638581159421,Molasadra Jegaraki | جگرسرای نمونه ملاصدرا (جگرسرای نمونه ملاصدرا),35.75659512269773,51.39673471647409,Jegaraki,51f03023498ed0f55d84d470
35.75667475862068,51.39638581159421,Limón Restaurant | رستوران لیمون (رستوران لیمون),35.75385732063133,51.397767306594076,Mexican Restaurant,5187eb20498ecc6fad5338dd
35.75667475862068,51.39638581159421,Dizibar (دیزی‌بار),35.75644579063989,51.394736957815155,Dizi Place,4f72e044e4b0c4fe45b0d0a6
35.75667475862068,51.39638581159421,Sheykh Bahaei Kabab House | نان داغ كباب داغ شیخ بهایی,35.75297059824623,51.39662753053464,Persian Restaurant,52ac720811d2e7d4761d7ec5
35.75667475862068,51.39638581159421,Saeid Burger,35.755804,51.400228,Fast Food Restaurant,57f4c51c498e1acf4bf0d9eb
35.75667475862068,51.39638581159421,Mahi Mahi Restaurant | رستوران ماهی ماهی (رستوران ماهی ماهی),35.75254347495913,51.39610293293416,Restaurant,5715ef5f498eafae9eafd45c
35.75667475862068,51.39638581159421,Sheikh Cafe & Restaurant | كافه رستوران شيخ,35.759989290300275,51.395856889600886,Café,574b1334498eb57fdb1a060c
35.75667475862068,51.39638581159421,كباب باباكوهى | Babakoohi Kebab,35.75676539755178,51.39718954044746,Restaurant,53677b15498e45e0c4413b74
35.75667475862068,51.39638581159421,Mollasadra Grilled Chicken | تک بریان ملاصدرا - هاتف (تک بریان ملاصدرا - هاتف),35.756990248011654,51.40075599022211,Fried Chicken Joint,50e32484e4b0c73e84f5c25d
35.75667475862068,51.39638581159421,Formule 1 | فرمول یک (فرمول یک),35.75682700604196,51.39978397884973,Burger Joint,53ea44d9498eac704d37b927
35.75667475862068,51.39638581159421,Dang cafe restaurant,35.760032898489165,51.395889437013345,Restaurant,5988ab3ca5a31517f88e5ae3
35.75667475862068,51.39638581159421,HOORSUN (هورسان),35.758648,51.400368,Italian Restaurant,5881ed352f91cb3bc755090a
35.75667475862068,51.39638581159421,Pars Music Institute Café,35.757669633421024,51.3959218863822,Coffee Shop,54901784498e80ceb508bbd5
35.75667475862068,51.39638581159421,Dr. Hamed Masoudi Drugstore | داروخانه دکتر حامد مسعودی (داروخانه دکتر حامد مسعودی),35.757764,51.400097,Drugstore,59377f32340a585acaaa356b
35.75667475862068,51.39638581159421,Dukkan Burger | دکان برگر (دکان برگر),35.758273995523865,51.40028840851869,Burger Joint,54cfc3da498e732d08a1038c
